,expected_ul,expected_ur,real_ul_m1,real_ur_m1,delta_ul,delta_ur
506,4.698635287131899,4.838281388532809,6.633840560913086,6.947232723236084,-0.4761870433429545,-0.5335605189684118
2729,1.23,2.2,6.085391044616699,6.270682334899902,0.51,2.1900000000000004
1123,8.476963439845335,8.282592021943138,3.08,1.47,1.3360284956925028,1.1587202186594467
3208,7.586707798947287,7.706328843316441,6.464747905731201,7.105210304260254,0.7661921663178921,0.7931046230405618
658,2.13,4.68,2.93,2.18,-1.2000000000000002,1.4499999999999997
2905,4.886019971398443,4.794746740974804,4.80105447769165,5.486117839813232,-0.48931905982103974,-0.41548742421684626
169,2.94,0.45,5.911965847015381,5.883841037750244,0.20999999999999996,-0.6400000000000001
3501,5.822694466657563,7.6079733343827805,6.772876739501953,5.327743053436279,-0.11486418431289636,0.7355687590348801
710,7.11902076175705,6.37005100445339,4.768133640289307,5.342913627624512,0.5401757376481635,0.06126365856715843
182,5.132738922901086,5.154212012611922,6.552520751953125,7.016885757446289,-0.41495385282523234,-0.38191603151649556
2864,7.723624785523521,6.085916820424473,5.911581039428711,6.966105937957764,0.8800421553660502,-0.04791468058260673
2039,6.57374870099453,7.158417351303142,2.65,2.96,0.20037471570400278,0.49835360771183357
1542,7.2566309047939965,8.250963616369923,4.831603527069092,7.151381015777588,0.5984559131863305,1.1729969263064461
2720,3.06,5.8,5.878617763519287,5.61371660232544,0.25,2.9
117,7.586707798947287,7.706328843316441,5.287239074707031,7.254042625427246,0.7795598192109585,0.7738079769223978
2683,5.052752467634598,4.752743778538872,6.958621501922607,6.030979633331299,-0.38758328294523636,-0.431364478754829
739,4.607208629178763,7.621184276772095,1.63,2.54,-0.49071035809540664,0.7175206415181892
3556,7.804946636857294,7.463040117510657,4.864386081695557,6.851409912109375,0.9327189680950871,0.6206891577328246
1414,4.318525983676661,5.196992209445714,7.131377696990967,7.080234527587891,-0.4806015950586904,-0.3108236284143935
1778,4.318525983676661,5.196992209445714,5.2348456382751465,6.864995002746582,-0.46849946798349507,-0.3764655084497939
2244,7.5945700712695485,8.23022424109473,6.994185924530029,6.400431156158447,0.8259133406176922,1.1144825113584016
2658,5.1465660555872805,5.004853091428609,7.019540786743164,7.156818389892578,-0.39945349855090306,-0.4210278175374551
159,5.85529283755339,5.4706677083289525,5.922154426574707,4.831962585449219,-0.14132591015779195,-0.27912152964712167
909,7.069615383547609,7.472653663335409,6.580342769622803,6.605507373809815,0.4636364177883321,0.9716060520988368
1729,6.750577118655875,4.53824242165042,4.857004642486572,7.135373592376709,0.23664536740465447,-0.4172805924181846
90,5.67,3.19,6.046208381652832,5.742465972900391,2.6799999999999997,-0.050000000000000266
197,5.91,2.74,6.549210071563721,6.657929420471191,2.79,0.3500000000000001
394,7.704189570585749,5.085072408733654,6.977395057678223,6.399722099304199,0.8524287063279363,-0.40910207170457813
2737,7.069615383547609,7.472653663335409,2.48,2.82,0.47368862192041217,0.9319980503898524
2177,0.3,5.13,6.881195545196533,5.679567813873291,-2.02,1.9499999999999997
2070,0.12,2.54,6.356287956237793,7.172847270965576,-0.020000000000000018,1.45
1147,5.719829685319695,5.419406042220746,5.068668365478516,7.016361236572266,-0.2306784323560862,-0.35727681147798407
2025,8.543563414264959,6.174829852109672,5.068949222564697,5.980681896209717,1.368242312122625,-0.035098660463570575
1354,5.978557849447959,7.3618317019176835,1.05,3.08,-0.0716788525173726,0.690946139020955
472,0.32,4.3,4.833422183990479,5.31394624710083,-0.42,2.23
681,7.729288047979072,6.013855469911796,6.834324359893799,5.955162525177002,0.828414386937812,-0.05833100011994219
2408,7.134850940825273,7.873483835118763,5.9426374435424805,5.762338161468506,0.5118360139148725,0.9193064555106085
2103,5.010620931009804,8.398791548511912,6.670316696166992,5.666834831237793,-0.4011355844931259,1.2732641666149398
2523,7.155683167797275,6.419287731149939,2.83,2.52,0.5377041181146582,0.07677703092410848
416,0.72,1.28,6.849552154541016,6.908583641052246,0.72,0.73
2682,7.938714016629502,5.793933407261769,6.7252726554870605,6.549550533294678,0.9800925147068948,-0.23704622606952963
3336,4.390838234456905,7.6767761128343235,1.55,3.14,-0.423436553445927,0.7398707287706028
1157,4.325847490847472,4.364834055895022,5.468727111816406,6.178651809692383,-0.4496847547885139,-0.5549252176340307
1101,6.349090769895571,5.711541030674148,7.032122611999512,4.884141445159912,0.09273405373956489,-0.25135817739469957
2386,2.62,2.11,5.216169357299805,6.598876476287842,2.5,1.6199999999999999
2710,5.677710652531159,6.674367036827218,6.324976444244385,6.972506046295166,-0.21786200982235648,0.20666512490094835
2939,7.590090385666892,5.839207894339654,6.010651111602783,6.037910461425781,0.7700573122415992,-0.16746782587518982
1151,8.068051598423148,8.116055085647053,5.54249906539917,5.441744327545166,1.084787152164603,1.0342188620447583
1811,4.54,3.67,5.605654239654541,5.868009567260742,1.9900000000000002,0.9100000000000001
333,5.12,5.11,5.441693305969238,6.894161224365234,2.27,1.7100000000000004
3039,5.544485373791191,5.567530026081724,5.565169334411621,4.737300395965576,-0.2678086325564655,-0.29436553513653774
543,4.916195695629144,8.034575002857268,6.624989032745361,6.340857982635498,-0.38958566881177426,0.9607067281685477
2182,6.122228928844674,7.551323558326159,6.862826347351074,6.882004737854004,-0.028660944659964827,0.6485797419504262
3581,8.005128766144633,6.417286727950184,4.71302604675293,5.294795513153076,1.049341584290385,0.1246994476767469
582,8.229464947650031,7.395035298822575,2.58,2.73,1.1984609956236643,0.6528783164006997
2125,5.732352877405256,7.712405231245085,7.173440933227539,6.509376525878906,-0.1860526554316584,0.7859244611340008
113,4.872495236083123,6.836492448354722,6.127073764801025,5.503855228424072,-0.39820426495447503,0.2548693709621439
791,5.321484400423711,8.471351576974742,2.78,2.55,-0.3263513310826367,1.2210163604525253
720,7.729288047979072,6.013855469911796,5.796871185302734,5.849721431732178,0.8269876901604674,-0.07181404760529375
1933,4.767855681737175,7.497054114653266,3.02,2.4,-0.3861989599864577,0.6259064820543889
1854,7.785327827879713,8.116303817822034,5.001417636871338,5.340395450592041,0.9028209804981211,1.0724786682859015
2000,4.938101007612459,7.537528696345408,7.169485569000244,7.022624492645264,-0.40335588249374243,0.6585800078383279
1192,5.820418141863654,4.844784299627777,5.250206470489502,4.91708517074585,-0.17049286506383599,-0.433955152734284
2139,4.965662261287368,7.037480847092734,5.04470682144165,6.191246032714844,-0.4082772528727885,0.6266970793925388
1326,7.334916617192277,5.236674447082557,6.248974323272705,5.9772796630859375,0.6656465785875403,-0.42473540780635943
1054,5.321484400423711,8.471351576974742,5.299213409423828,7.0626301765441895,-0.30681245168810545,1.2818479072359725
2076,0.73,3.4,6.655476093292236,6.267452239990234,-0.15000000000000002,0.73
540,6.540302760140021,5.627231750510897,4.973779201507568,6.118443965911865,0.1287770338216614,-0.2865489387286049
1644,0.58,4.98,5.523681163787842,6.419240474700928,-0.7700000000000001,1.6400000000000006
750,6.4832862851861925,5.445967497248663,2.89,1.76,0.1813997266534777,-0.2996122222947939
2638,4.749543690945573,4.47653279193101,6.922077655792236,7.171759605407715,-0.5186338183622885,-0.5299607764893999
1676,7.884367351548929,7.044904713970063,0.53,1.27,0.9481667328050323,0.4401764920767519
2584,4.936940272510902,5.90469471543601,6.983589172363281,7.067679405212402,-0.426600853740319,-0.2621181812925055
559,7.059191373976039,7.526824319588494,5.604178428649902,5.863949775695801,0.4642368833144177,0.6526587846153493
878,4.663505295518664,6.412111868565615,6.315120220184326,5.729320526123047,-0.46730973362562267,0.10458718747430673
2786,6.589991447327363,8.506751999025825,6.868340015411377,7.063426971435547,0.2017940252997752,1.247140869265083
859,7.553297026058077,6.424834183013787,5.560758113861084,5.46082067489624,0.7546691726645225,0.052514484680046714
3484,8.355447580780506,8.259830008591209,6.792459011077881,6.384668827056885,1.2727768921513558,1.2335934744725563
3411,5.53526663894412,7.819658519647922,6.472833156585693,7.12106990814209,-0.24441456680539186,0.8301250952704802
1008,6.543653318732075,5.0219967212590015,5.397830963134766,6.881195545196533,0.23521692499428237,-0.46177841759597893
3479,3.79,5.57,2.5,3.03,1.25,2.6100000000000003
121,0.55,2.08,5.208227634429932,5.980316162109375,-1.8800000000000001,-0.6200000000000001
1702,8.390287279271307,6.706221478959221,0.72,0.01,1.2484019986621764,0.2526930747233811
2906,5.6206890107593495,6.618143527367312,5.375339031219482,5.21023416519165,-0.26928462968254596,0.17899605498572058
2562,6.801727060482529,8.340589518178161,7.035019874572754,6.745304584503174,0.3254182378506929,1.2313790269977414
3089,5.77667773097745,5.57668245395854,7.170342445373535,7.011908531188965,-0.23545157581576248,-0.24700605312153812
3527,4.791183570516051,7.129326093239601,5.915459156036377,5.168946743011475,-0.5025934184671037,0.4632255912254406
1627,7.405337927413302,6.811268412611578,0.34,1.25,0.6624261117699906,0.2598620290971736
195,5.793197099599796,5.868478418281665,5.959545135498047,6.166584014892578,-0.16514688309673708,-0.22874820143879404
1216,0.2,5.82,3.27,3.26,0.19,4.930000000000001
2137,6.313083528757875,7.589912021006434,6.541426658630371,5.0963335037231445,0.10264861512262069,0.7455864785564827
984,7.3215304273333,7.576530326662628,2.11,0.02,0.6194368261064938,0.7357882154565729
2575,7.884367351548929,7.044904713970063,6.555772304534912,5.785908222198486,1.0073312568834014,0.42462111030185046
2687,7.069615383547609,7.472653663335409,6.621436595916748,6.129786491394043,0.46451713601953326,0.9695332409721278
1113,4.51766690844556,8.359291601121146,4.779854774475098,5.311022758483887,-0.42774954205492843,0.9198408603069375
1200,8.430149643487391,7.924368459293424,6.838852882385254,5.922292232513428,1.327928631371912,0.9561625304909338
170,2.59,3.07,2.73,1.09,2.3699999999999997,2.1999999999999997
969,6.122228928844674,7.551323558326159,6.16469669342041,5.751063346862793,-0.04321115370537498,0.6617142214731313
334,5.798511994763135,5.888907549889044,2.85,3.4,-0.1889572015564447,-0.09312474915270386
694,5.93930993093895,4.407693405802191,5.465701103210449,5.156011581420898,-0.19350256906105034,-0.5012936394858949
641,6.810090889390995,4.375338402928269,0.01,0.01,0.3274258274403117,-0.46512332802876255
818,8.328110113424827,6.053018733581053,5.150211334228516,6.331509113311768,1.2745970633454817,-0.08392794458056851
3462,5.889483111090121,5.650046550864201,2.58,2.43,-0.07031331759029857,-0.2932575110254474
3335,0.82,4.34,5.576164245605469,5.918377876281738,-0.7300000000000001,1.1999999999999997
1075,5.820418141863654,4.844784299627777,5.995063781738281,7.088016510009766,-0.14746258399694145,-0.49080415557241874
1879,6.547113832551178,7.478785611924536,6.3849921226501465,6.205844402313232,0.12543624313467383,0.7003785150617432
3369,5.593047572039868,8.276518127613834,2.64,1.32,-0.19714455518791496,1.1213696214492828
933,4.491336706891902,7.933169892931429,3.06,0.78,-0.4581266605702563,0.8934040581230791
36,1.4,0.21,2.69,0.78,-0.6200000000000001,-1.23
1142,4.595601833315801,7.871098987267771,6.681112289428711,7.040788650512695,-0.46034737780480484,0.8361778179867647
3559,6.012640228818088,6.179598628695163,5.551321506500244,4.821280479431152,-0.057522067477077776,-0.10839623290762024
2447,6.412234786652339,8.268463175777713,6.668931484222412,5.645923614501953,0.10667085995556125,1.1426992826502715
1313,7.405337927413302,6.811268412611578,5.308266639709473,6.644701957702637,0.684538481307345,0.27067478849658766
1179,8.328110113424827,6.053018733581053,5.294989585876465,6.660937786102295,1.2482761290498274,-0.06519968835498258
2742,6.259851120982756,5.933193298182134,6.660630702972412,4.869623184204102,0.052837990794767364,-0.17569008270775832
2892,6.350536311425429,7.720861719869331,6.9503173828125,6.294872283935547,0.08757635430262667,0.8820498454796821
225,2.6,3.16,5.896994590759277,5.871939182281494,1.82,1.8800000000000001
1383,7.4629558726692835,4.9121874829229935,6.802885055541992,7.084139823913574,0.6869343921089808,-0.41042814055112764
3431,7.637766805853066,7.969707017293384,2.76,3.15,0.8368987714902731,0.9406437925009037
294,5.631648176213973,4.875059370162072,6.653453350067139,6.4173994064331055,-0.2296794719488684,-0.43345141017240074
2619,7.135618444588085,4.353378840391947,5.607259750366211,5.827291488647461,0.5089580976032213,-0.415367058808493
881,7.884175891263672,6.346624111959618,7.155080318450928,5.52501392364502,0.9934607690407713,0.04503128511635612
87,6.451064293493763,7.987633979165475,0.9,2.6,0.09893912564708351,1.0148690102934044
2356,8.005128766144633,6.417286727950184,6.6056647300720215,5.019868850708008,1.0768913279427288,0.09207234196385627
783,4.767855681737175,7.497054114653266,1.69,2.33,-0.43358703676868426,0.6495471146837835
273,5.097793658773378,6.414866257858373,6.737754821777344,6.542043685913086,-0.4405574001865826,0.16959505195627322
386,5.933654822241603,8.090066214077178,6.958395957946777,6.031151294708252,-0.08362432586020407,1.0160982804223924
2774,4.66342528825023,7.210706933048945,5.985552787780762,6.289021015167236,-0.396368184039809,0.4938757257735542
256,7.026605275946748,8.33183334319532,5.991363048553467,6.838749885559082,0.43653884299386725,1.1720480725044027
1380,0.76,0.33,7.000246524810791,5.957255363464356,0.3,-0.23999999999999994
2930,0.7,2.48,5.976858139038086,6.8518781661987305,0.48,1.6099999999999999
1194,7.007641680825226,4.57807210131511,6.900430202484131,6.917743682861328,0.37279547034548965,-0.49030730084553475
3508,6.465570095279426,8.480419147201207,5.996166229248047,6.941039085388184,0.11181557486316596,1.3035468937832384
1648,1.9,2.98,5.724180221557617,4.936172008514404,1.3699999999999999,2.46
278,7.235202577986116,4.575588544870495,0.42,0.52,0.5743878158706366,-0.45143810841929977
2525,4.938495244824031,7.71113044620262,5.069276809692383,6.769830226898193,-0.4623879529603929,0.7926223933766918
3075,6.129977409305906,4.648023946279462,2.62,1.64,0.007108871403073813,-0.4985290932713191
988,1.73,1.29,6.82580041885376,5.994046211242676,-0.15999999999999992,0.16000000000000014
3624,7.117999280409938,5.959092853148803,7.135272026062012,7.132461071014404,0.49176474900735023,-0.10287547341980119
717,7.134850940825273,7.873483835118763,5.5669050216674805,5.938390731811523,0.5037808038013472,0.935521779912464
2347,2.27,0.26,0.0,0.01,-0.31000000000000005,-2.3499999999999996
1228,4.456177576301689,4.96795109712024,5.387289524078369,5.2108917236328125,-0.4206596772688673,-0.45609684980969156
2117,7.938714016629502,5.793933407261769,5.357326030731201,6.648394584655762,0.9857272994053812,-0.23430107454975424
1107,7.296737155732901,6.033771854029045,7.054638862609863,7.048285484313965,0.6071486089799709,-0.10899700583423666
498,4.429548386689346,7.454501579945433,6.376128196716309,7.180471897125244,-0.41244494521983377,0.5892872321060763
2433,4.569167883819932,7.13796522520818,6.830447196960449,6.152569770812988,-0.47526094155848586,0.48830559157170583
554,2.06,2.12,6.601734638214111,6.529755115509033,-1.04,-0.69
