v_left,v_right,v_left_real,v_right_real
0.0,0.0,-0.0,0.0
0.0,0.628,-0.0,0.0
0.0,1.256,-0.0,0.0
0.0,1.8840000000000001,-0.0,0.0
0.0,2.512,-0.0,0.0
0.0,3.14,-0.0,0.0
0.0,3.7680000000000002,-0.0,0.001945338785512055
0.0,4.396,-0.0,0.001945338785512055
0.0,5.024,-0.0,0.0046953766197874785
0.0,5.652,-0.0,0.0046953766197874785
0.0,6.28,-0.0,6.170614754281393
v_left,v_right,v_left_real,v_right_real
0.0,0.0,-0.0,0.0
0.0,0.628,-0.0,0.0
0.0,1.256,-0.0,0.0
0.0,1.8840000000000001,-0.0,0.0
0.0,2.512,-0.0,0.0
0.0,3.14,-0.0,0.0
0.0,3.7680000000000002,-0.0,0.001945338785512055
0.0,4.396,-0.0,0.001945338785512055
0.0,5.024,-0.0,0.0046953766197874785
0.0,5.652,-0.0,0.0046953766197874785
0.0,6.28,-0.0,6.170614754281393
0.628,0.0,-0.0,2.358288445123812
0.628,0.628,-0.0,2.358288445123812
0.628,1.256,-0.0,2.358288445123812
0.628,1.8840000000000001,-0.0,2.358288445123812
0.628,2.512,-0.0,2.358288445123812
0.628,3.14,-0.0,2.358288445123812
0.628,3.7680000000000002,-0.0,2.358288445123812
0.628,4.396,-0.0,2.358288445123812
0.628,5.024,-0.0,4.833634015990467
0.628,5.652,-0.0,3.8051965760021678
0.628,6.28,-0.0,6.3678369289491235
v_left,v_right,v_left_real,v_right_real
0.0,0.0,-0.0,0.0
0.0,0.628,-0.0,0.0
0.0,1.256,-0.0,0.0
0.0,1.8840000000000001,-0.0,0.0
0.0,2.512,-0.0,0.0
0.0,3.14,-0.0,0.0
0.0,3.7680000000000002,-0.0,0.001945338785512055
0.0,4.396,-0.0,0.001945338785512055
0.0,5.024,-0.0,0.0046953766197874785
0.0,5.652,-0.0,0.0046953766197874785
0.0,6.28,-0.0,6.170614754281393
0.628,0.0,-0.0,2.358288445123812
0.628,0.628,-0.0,2.358288445123812
0.628,1.256,-0.0,2.358288445123812
0.628,1.8840000000000001,-0.0,2.358288445123812
0.628,2.512,-0.0,2.358288445123812
0.628,3.14,-0.0,2.358288445123812
0.628,3.7680000000000002,-0.0,2.358288445123812
0.628,4.396,-0.0,2.358288445123812
0.628,5.024,-0.0,4.833634015990467
0.628,5.652,-0.0,3.8051965760021678
0.628,6.28,-0.0,6.3678369289491235
1.256,0.0,-0.0,1.8448246688377568
1.256,0.628,-0.0,1.8448246688377568
1.256,1.256,-0.0,1.8448246688377568
1.256,1.8840000000000001,0.0004433797496348256,1.8448246688377568
1.256,2.512,0.0004433797496348256,1.8448246688377568
1.256,3.14,0.0004433797496348256,1.8448246688377568
1.256,3.7680000000000002,0.0004433797496348256,1.8448246688377568
1.256,4.396,0.0004433797496348256,1.8448246688377568
1.256,5.024,0.0004433797496348256,0.7464279488819402
1.256,5.652,0.0004433797496348256,0.7464279488819402
1.256,6.28,0.0004433797496348256,6.332720198282382
v_left,v_right,v_left_real,v_right_real
0.0,0.0,-0.0,0.0
0.0,0.628,-0.0,0.0
0.0,1.256,-0.0,0.0
0.0,1.8840000000000001,-0.0,0.0
0.0,2.512,-0.0,0.0
0.0,3.14,-0.0,0.0
0.0,3.7680000000000002,-0.0,0.001945338785512055
0.0,4.396,-0.0,0.001945338785512055
0.0,5.024,-0.0,0.0046953766197874785
0.0,5.652,-0.0,0.0046953766197874785
0.0,6.28,-0.0,6.170614754281393
0.628,0.0,-0.0,2.358288445123812
0.628,0.628,-0.0,2.358288445123812
0.628,1.256,-0.0,2.358288445123812
0.628,1.8840000000000001,-0.0,2.358288445123812
0.628,2.512,-0.0,2.358288445123812
0.628,3.14,-0.0,2.358288445123812
0.628,3.7680000000000002,-0.0,2.358288445123812
0.628,4.396,-0.0,2.358288445123812
0.628,5.024,-0.0,4.833634015990467
0.628,5.652,-0.0,3.8051965760021678
0.628,6.28,-0.0,6.3678369289491235
1.256,0.0,-0.0,1.8448246688377568
1.256,0.628,-0.0,1.8448246688377568
1.256,1.256,-0.0,1.8448246688377568
1.256,1.8840000000000001,0.0004433797496348256,1.8448246688377568
1.256,2.512,0.0004433797496348256,1.8448246688377568
1.256,3.14,0.0004433797496348256,1.8448246688377568
1.256,3.7680000000000002,0.0004433797496348256,1.8448246688377568
1.256,4.396,0.0004433797496348256,1.8448246688377568
1.256,5.024,0.0004433797496348256,0.7464279488819402
1.256,5.652,0.0004433797496348256,0.7464279488819402
1.256,6.28,0.0004433797496348256,6.332720198282382
