expected_ul: 4.700420913731542, expected_ur: 6.373702867740893, pwm_l: 54.65605713641328, pwm_r: 74.11282404349876, real_ul: 5.165984630584717, real_ur: 6.304285049438477
expected_ul: 4.700420913731542, expected_ur: 6.373702867740893, pwm_l: 54.65605713641328, pwm_r: 74.11282404349876, real_ul: 5.1748223304748535, real_ur: 6.311801433563232
expected_ul: 4.700420913731542, expected_ur: 6.373702867740893, pwm_l: 54.65605713641328, pwm_r: 74.11282404349876, real_ul: 5.158000946044922, real_ur: 6.319594860076904
expected_ul: 4.700420913731542, expected_ur: 6.373702867740893, pwm_l: 54.65605713641328, pwm_r: 74.11282404349876, real_ul: 5.150211334228516, real_ur: 6.331509113311768
expected_ul: 4.700420913731542, expected_ur: 6.373702867740893, pwm_l: 54.65605713641328, pwm_r: 74.11282404349876, real_ul: 5.183640956878662, real_ur: 6.328302383422852
expected_ul: 4.700420913731542, expected_ur: 6.373702867740893, pwm_l: 54.65605713641328, pwm_r: 74.11282404349876, real_ul: 5.182784557342529, real_ur: 6.32354211807251
expected_ul: 4.700420913731542, expected_ur: 6.373702867740893, pwm_l: 54.65605713641328, pwm_r: 74.11282404349876, real_ul: 5.1722869873046875, real_ur: 6.3311333656311035
expected_ul: 4.700420913731542, expected_ur: 6.373702867740893, pwm_l: 54.65605713641328, pwm_r: 74.11282404349876, real_ul: 5.162341594696045, real_ur: 6.335963249206543
expected_ul: 4.700420913731542, expected_ur: 6.373702867740893, pwm_l: 54.65605713641328, pwm_r: 74.11282404349876, real_ul: 5.146083831787109, real_ur: 6.325272083282471
expected_ul: 4.700420913731542, expected_ur: 6.373702867740893, pwm_l: 54.65605713641328, pwm_r: 74.11282404349876, real_ul: 5.1759443283081055, real_ur: 6.332144737243652
expected_ul: 5.084651951333345, expected_ur: 7.54755676592945, pwm_l: 59.12385989922494, pwm_r: 87.76228797592384, real_ul: 5.455665588378906, real_ur: 6.889388561248779
expected_ul: 5.084651951333345, expected_ur: 7.54755676592945, pwm_l: 59.12385989922494, pwm_r: 87.76228797592384, real_ul: 5.450829029083252, real_ur: 6.884495735168457
expected_ul: 5.084651951333345, expected_ur: 7.54755676592945, pwm_l: 59.12385989922494, pwm_r: 87.76228797592384, real_ul: 5.458345413208008, real_ur: 6.8929595947265625
expected_ul: 5.084651951333345, expected_ur: 7.54755676592945, pwm_l: 59.12385989922494, pwm_r: 87.76228797592384, real_ul: 5.44464111328125, real_ur: 6.892358779907227
expected_ul: 5.084651951333345, expected_ur: 7.54755676592945, pwm_l: 59.12385989922494, pwm_r: 87.76228797592384, real_ul: 5.44066858291626, real_ur: 6.892769813537598
expected_ul: 5.084651951333345, expected_ur: 7.54755676592945, pwm_l: 59.12385989922494, pwm_r: 87.76228797592384, real_ul: 5.446000576019287, real_ur: 6.897484302520752
