,expected_ul,expected_ur,real_ul,real_ur
2417,8.09712583567949,6.547418305655669,6.969854354858398,6.441330432891846
2318,7.884367351548929,7.0449047139700625,6.875170707702637,6.6934003829956055
1862,7.590090385666892,5.839207894339654,6.818874359130859,6.017763614654541
506,5.712034673205158,5.569806680267073,5.903072357177734,5.894069671630859
3430,1.49, 4.79, 2.43, 3.30
2729,4.595601833315801,7.871098987267771,5.035107135772705,7.07043981552124
994,7.713956176779773,4.988425149389483,6.8654680252075195,5.4043426513671875
657,8.45823688097778,4.745980904010715,7.124581336975098,5.204416275024414
917,7.276320383146712,4.729576312908365,6.7009124755859375,5.149878025054932
169,5.097793658773378,6.414866257858373,5.535320281982422,6.265244007110596
3301,1.75, 4.18, 0.94, 2.92
709,4.569167883819932,7.1379652252081796,5.074032306671143,6.653781890869141
182,6.613053153398422,6.294533894261308,6.417726039886475,6.2097063064575195
3185,1.15, 5.50, 0.07, 3.11
2039,8.229464947650031,7.395035298822575,7.040623664855957,6.809843063354492
1498,6.129977409305906,4.648023946279462,6.118246555328369,5.1504974365234375
2720,4.936940272510902,5.90469471543601,5.396873474121094,6.054182052612305
117,4.510424753146376,5.848267008397068,5.022279739379883,5.962227821350098
1356,4.749543690945573,4.47653279193101,5.257968425750732,4.92003870010376
738,8.227711564742117,4.467832295974009,7.060572624206543,4.857276916503906
3556,3.41, 6.06, 2.65, 2.95
3235,3.35, 0.47, 0.01, 0.00
2407,7.422119544718219,6.7949539391122835,6.762099266052246,6.5446367263793945
1762,8.590860756267281,8.593778042569701,7.177532196044922,7.215935230255127
2658,6.702910275425484,6.983551583855622,6.4343085289001465,6.613071918487549
159,7.935064036539107,6.946693916317449,6.919240951538086,6.518584728240967
2928,5.020038524850082,7.3245532166574625,5.4209699630737305,6.776784420013428
1810,5.077524219203911,4.309465147195566,5.527857303619385,4.8608856201171875
90,5.978557849447959,7.3618317019176835,6.0511579513549805,6.705118179321289
197,4.456177576301689,4.96795109712024,4.8766770362854,5.428939342498779
394,7.2967371557329015,6.033771854029045,6.7355875968933105,6.110161304473877
956,6.132321126622973,5.143156381391002,6.145003795623779,5.502073764801025
1745,6.143526129948782,4.482109878820415,6.216447353363037,4.9457221031188965
2515,7.354125602782436,8.31770981019325,6.7044572830200195,7.128907680511475
1147,5.762047460969978,4.62176524655831,5.902579307556152,5.165897369384766
3589,3.08, 0.36, 2.69, 0.78
3488,1.40, 0.21, 2.02, 1.44
472,6.121700467446524,8.494954602350868,6.133321762084961,7.209218502044678
680,4.891802247862505,5.648983865189146,5.233048439025879,5.973769187927246
2573,4.486790544985517,5.969755683636615,4.950499534606934,6.050048828125
2069,7.165902132724979,5.720546388770775,6.588250637054443,6.017877578735352
2523,5.0369105437704516,7.862007400305674,5.380719184875488,7.005566596984863
416,6.313083528757875,7.589912021006434,6.207070827484131,6.8818159103393555
2682,5.6206890107593495,6.6181435273673115,5.86933708190918,6.44525146484375
2432,5.295444647757382,4.5341660250834215,5.553785800933838,5.082822322845459
1157,7.334916617192277,5.236674447082557,6.670501708984375,5.650414943695068
1070,8.008969365987703,5.8989710996076425,6.9908342361450195,6.011731147766113
2386,8.08780206942623,5.685738624372378,7.009488105773926,5.947835922241211
3166,0.24, 4.51, 0.97, 2.31
2939,8.108488624674093,6.4666669122755795,7.055334568023682,6.351078033447266
3498,3.35, 2.14, 2.71, 0.00
1109,4.921119911988125,7.281542078937929,5.401564598083496,6.73616886138916
333,7.979504569188816,7.710265215426131,6.931561470031738,6.865057468414307
3358,1.27, 0.00, 0.85, 2.56
543,5.753623561773392,5.324416426853552,5.961976051330566,5.642190456390381
2498,6.378349005400046,6.774184333722713,6.315000057220459,6.500072479248047
1587,7.67143840479168,7.635198347554037,6.871181488037109,6.862517833709717
581,5.702446858739156,7.049413697757441,5.907680511474609,6.648953437805176
1682,5.635742407701582,6.072885809047759,5.874462127685547,6.241638660430908
113,4.510424753146376,5.848267008397068,5.0688090324401855,5.972702980041504
793,5.895333992008506,7.6775910835111505,5.9952616691589355,6.906455993652344
719,7.135618444588085,4.353378840391947,6.628575325012207,4.796848297119141
1267,5.434200635066755,6.531694584214257,5.740180492401123,6.41475772857666
1854,8.476963439845335,8.282592021943138,7.132901191711426,7.119686603546143
3624,4.83, 3.23, 3.24, 3.26
1192,5.370539318697197,4.703255240576165,5.697362422943115,5.148111820220947
2139,7.3215304273333,7.576530326662628,6.711714267730713,6.876273155212402
1326,8.543563414264959,6.174829852109672,7.1722869873046875,6.206593990325928
2504,7.804946636857294,7.463040117510657,6.849324703216553,6.865663528442383
2076,7.165902132724979,5.720546388770775,6.684110641479492,5.929445743560791
540,5.753623561773392,5.324416426853552,5.947474479675293,5.680684566497803
1644,7.737903799305759,6.575797309981807,6.918284893035889,6.43792200088501
749,8.430149643487391,7.924368459293424,7.100140571594238,6.984984874725342
995,7.713956176779773,4.988425149389483,6.872292995452881,5.398360729217529
2866,5.793197099599796,5.868478418281665,6.0084075927734375,6.057673454284668
2146,7.3215304273333,7.576530326662628,6.697681903839111,6.8560051918029785
559,5.088151856574972,5.993088019592866,5.486143589019775,6.0976972579956055
1066,4.607208629178763,7.621184276772095,5.083569526672363,6.931817054748535
1062,4.607208629178763,7.621184276772095,5.061939239501953,6.862894058227539
1125,4.663505295518664,6.412111868565615,5.096830368041992,6.3819661140441895
2000,8.216376523183559,4.360771958876231,7.0271897315979,4.838525295257568
3411,5.44, 4.48, 2.96, 3.12
2150,4.51766690844556,8.359291601121146,4.891720294952393,7.230607986450195
1325,8.543563414264959,6.174829852109672,7.163198471069336,6.213990211486816
121,7.005617131542111,7.458316553338744,6.556702136993408,6.772724151611328
2925,5.020038524850082,7.3245532166574625,5.440412521362305,6.819035053253174
3365,1.32, 2.11, 0.90, 2.60
927,6.451064293493763,7.987633979165475,6.35212516784668,6.97276496887207
3343,6.02, 2.38, 3.21, 2.67
878,5.85529283755339,5.4706677083289525,6.046208381652832,5.742465972900391
3503,5.67, 3.19, 2.99, 3.24
195,4.456177576301689,4.96795109712024,4.885586261749268,5.414139270782471
3221,4.35, 4.51, 2.61, 2.46
3233,1.95, 4.48, 0.19, 0.00
1581,7.67143840479168,7.635198347554037,6.86018705368042,6.917043209075928
2575,4.486790544985517,5.969755683636615,5.002465724945068,6.053272247314453
1776,5.127965645634222,6.493416087971241,5.493340015411377,6.4038591384887695
983,7.049584560660559,5.373584378867161,6.5554938316345215,5.747241973876953
1941,4.3258474908474716,4.364834055895022,4.817462921142578,4.898307800292969
170,5.097793658773378,6.414866257858373,5.547033786773682,6.249942779541016
1104,4.390838234456905,7.6767761128343235,4.804780006408691,6.951250076293945
334,7.979504569188816,7.710265215426131,6.925299644470215,6.888725280761719
693,6.233779917764517,5.2560473492327695,6.242722988128662,5.557136535644531
640,5.750410495338599,7.17765253071281,5.904031753540039,6.742727756500244
817,5.596621733443965,5.912449689044013,5.907625675201416,6.133261680603027
1037,5.9263916388631355,4.787312008795984,6.008350372314453,5.303152561187744
3202,1.83, 5.85, 2.35, 2.88
2084,5.677710652531159,6.674367036827218,5.86492395401001,6.512035369873047
3060,2.46, 0.48, 2.19, 2.25
2619,4.938101007612459,7.537528696345408,5.372440814971924,6.860089302062988
1026,5.876854002622725,7.502704996898639,6.023836135864258,6.822943687438965
36,6.683557944782604,5.22438383510929,6.452417373657227,5.623723030090332
954,6.132321126622973,5.143156381391002,6.127073764801025,5.503855228424072
2303,4.872495236083123,6.836492448354722,5.270699501037598,6.581623077392578
2447,4.641207889141068,8.341305669455718,5.0428996086120605,6.9587531089782715
1313,4.555681624751866,5.978297273546386,5.046538352966309,6.097536563873291
1533,4.831103416333001,8.507198837341086,5.287239074707031,7.254042625427246
2905,7.586707798947287,7.706328843316441,6.807147979736328,6.932520866394043
1817,5.077524219203911,4.309465147195566,5.558516979217529,4.748263359069824
225,5.650602716650101,4.47251831636119,5.961556911468506,4.865182399749756
1383,4.799672545105445,5.613230339090501,5.208227634429932,5.980316162109375
3431,0.55, 2.08, 2.43, 2.70
294,7.341364224392579,5.317270968081875,6.701938152313232,5.631644248962402
2495,6.378349005400046,6.774184333722713,6.318091869354248,6.499615669250488
1988,8.484022719136417,7.920031320534718,7.127352237701416,6.988070964813232
